motif,gap,type,stimulus,gap_start,gap_stop,full
B189,1,gap,B189_gap1,113.0,209.0,True
B189,1,gapnoise,B189_gapnoise1,113.0,209.0,True
B189,1,continuousnoise,B189_continuousnoise1,113.0,209.0,True
B189,1,noise,B189_noise1,113.0,209.0,True
B189,2,gap,B189_gap2,456.0,556.0,False
B189,2,gapnoise,B189_gapnoise2,456.0,556.0,False
B189,2,continuousnoise,B189_continuousnoise2,456.0,556.0,False
B189,2,noise,B189_noise2,456.0,556.0,False
B189,,continuous,B189_continuous,,,
B2,1,gap,B2_gap1,748.0,824.0,False
B2,1,gapnoise,B2_gapnoise1,748.0,824.0,False
B2,1,continuousnoise,B2_continuousnoise1,748.0,824.0,False
B2,1,noise,B2_noise1,748.0,824.0,False
B2,2,gap,B2_gap2,354.0,432.0,True
B2,2,gapnoise,B2_gapnoise2,354.0,432.0,True
B2,2,continuousnoise,B2_continuousnoise2,354.0,432.0,True
B2,2,noise,B2_noise2,354.0,432.0,True
B2,,continuous,B2_continuous,,,
B30,1,gap,B30_gap1,329.0,402.0,False
B30,1,gapnoise,B30_gapnoise1,329.0,402.0,False
B30,1,continuousnoise,B30_continuousnoise1,329.0,402.0,False
B30,1,noise,B30_noise1,329.0,402.0,False
B30,2,gap,B30_gap2,161.0,219.0,True
B30,2,gapnoise,B30_gapnoise2,161.0,219.0,True
B30,2,continuousnoise,B30_continuousnoise2,161.0,219.0,True
B30,2,noise,B30_noise2,161.0,219.0,True
B30,,continuous,B30_continuous,,,
B72,1,gap,B72_gap1,608.0,670.0,True
B72,1,gapnoise,B72_gapnoise1,608.0,670.0,True
B72,1,continuousnoise,B72_continuousnoise1,608.0,670.0,True
B72,1,noise,B72_noise1,608.0,670.0,True
B72,2,gap,B72_gap2,414.0,505.0,False
B72,2,gapnoise,B72_gapnoise2,414.0,505.0,False
B72,2,continuousnoise,B72_continuousnoise2,414.0,505.0,False
B72,2,noise,B72_noise2,414.0,505.0,False
B72,,continuous,B72_continuous,,,
O129,1,gap,O129_gap1,372.0,465.0,False
O129,1,gapnoise,O129_gapnoise1,372.0,465.0,False
O129,1,continuousnoise,O129_continuousnoise1,372.0,465.0,False
O129,1,noise,O129_noise1,372.0,465.0,False
O129,2,gap,O129_gap2,582.0,682.0,True
O129,2,gapnoise,O129_gapnoise2,582.0,682.0,True
O129,2,continuousnoise,O129_continuousnoise2,582.0,682.0,True
O129,2,noise,O129_noise2,582.0,682.0,True
O129,,continuous,O129_continuous,,,
R180,1,gap,R180_gap1,328.0,428.0,True
R180,1,gapnoise,R180_gapnoise1,328.0,428.0,True
R180,1,continuousnoise,R180_continuousnoise1,328.0,428.0,True
R180,1,noise,R180_noise1,328.0,428.0,True
R180,2,gap,R180_gap2,823.0,881.0,False
R180,2,gapnoise,R180_gapnoise2,823.0,881.0,False
R180,2,continuousnoise,R180_continuousnoise2,823.0,881.0,False
R180,2,noise,R180_noise2,823.0,881.0,False
R180,,continuous,R180_continuous,,,
R253,1,gap,R253_gap1,512.0,612.0,True
R253,1,gapnoise,R253_gapnoise1,512.0,612.0,True
R253,1,continuousnoise,R253_continuousnoise1,512.0,612.0,True
R253,1,noise,R253_noise1,512.0,612.0,True
R253,2,gap,R253_gap2,419.0,497.0,False
R253,2,gapnoise,R253_gapnoise2,419.0,497.0,False
R253,2,continuousnoise,R253_continuousnoise2,419.0,497.0,False
R253,2,noise,R253_noise2,419.0,497.0,False
R253,,continuous,R253_continuous,,,
R56,1,gap,R56_gap1,629.0,729.0,False
R56,1,gapnoise,R56_gapnoise1,629.0,729.0,False
R56,1,continuousnoise,R56_continuousnoise1,629.0,729.0,False
R56,1,noise,R56_noise1,629.0,729.0,False
R56,2,gap,R56_gap2,810.0,876.0,True
R56,2,gapnoise,R56_gapnoise2,810.0,876.0,True
R56,2,continuousnoise,R56_continuousnoise2,810.0,876.0,True
R56,2,noise,R56_noise2,810.0,876.0,True
R56,,continuous,R56_continuous,,,
