motif,gap,type,stimulus,snr,gap_start,gap_stop
nat8mk0,1,CB,ep_nat8mk0_CB_g1_snr0,0,113.0,209.0
nat8mk0,1,G,ep_nat8mk0_G_g1,30,113.0,209.0
nat8mk0,1,GB,ep_nat8mk0_GB_g1_snr0,0,113.0,209.0
nat8mk0,1,GM,ep_nat8mk0_GM_g1_snr0,0,113.0,209.0
nat8mk0,1,N,ep_nat8mk0_N_g1_snr0,0,113.0,209.0
nat8mk0,2,CB,ep_nat8mk0_CB_g2_snr0,0,456.0,556.0
nat8mk0,2,N,ep_nat8mk0_N_g2_snr0,0,456.0,556.0
nat8mk0,2,GM,ep_nat8mk0_GM_g2_snr0,0,456.0,556.0
nat8mk0,2,G,ep_nat8mk0_G_g2,30,456.0,556.0
nat8mk0,2,GB,ep_nat8mk0_GB_g2_snr0,0,456.0,556.0
nat8mk0,,CM,ep_nat8mk0_CM_snr0,30,,
nat8mk0,,C,ep_nat8mk0_C,30,,
nat8mk1,1,N,ep_nat8mk1_N_g1_snr0,0,629.0,729.0
nat8mk1,1,CB,ep_nat8mk1_CB_g1_snr0,0,629.0,729.0
nat8mk1,1,G,ep_nat8mk1_G_g1,30,629.0,729.0
nat8mk1,1,GM,ep_nat8mk1_GM_g1_snr0,0,629.0,729.0
nat8mk1,1,GB,ep_nat8mk1_GB_g1_snr0,0,629.0,729.0
nat8mk1,2,GB,ep_nat8mk1_GB_g2_snr0,0,810.0,876.0
nat8mk1,2,GM,ep_nat8mk1_GM_g2_snr0,0,810.0,876.0
nat8mk1,2,CB,ep_nat8mk1_CB_g2_snr0,0,810.0,876.0
nat8mk1,2,N,ep_nat8mk1_N_g2_snr0,0,810.0,876.0
nat8mk1,2,G,ep_nat8mk1_G_g2,30,810.0,876.0
nat8mk1,,CM,ep_nat8mk1_CM_snr0,30,,
nat8mk1,,C,ep_nat8mk1_C,30,,
nat8mk2,1,N,ep_nat8mk2_N_g1_snr0,0,328.0,428.0
nat8mk2,1,GM,ep_nat8mk2_GM_g1_snr0,0,328.0,428.0
nat8mk2,1,CB,ep_nat8mk2_CB_g1_snr0,0,328.0,428.0
nat8mk2,1,GB,ep_nat8mk2_GB_g1_snr0,0,328.0,428.0
nat8mk2,1,G,ep_nat8mk2_G_g1,30,328.0,428.0
nat8mk2,2,CB,ep_nat8mk2_CB_g2_snr0,0,823.0,881.0
nat8mk2,2,G,ep_nat8mk2_G_g2,30,823.0,881.0
nat8mk2,2,GM,ep_nat8mk2_GM_g2_snr0,0,823.0,881.0
nat8mk2,2,N,ep_nat8mk2_N_g2_snr0,0,823.0,881.0
nat8mk2,2,GB,ep_nat8mk2_GB_g2_snr0,0,823.0,881.0
nat8mk2,,C,ep_nat8mk2_C,30,,
nat8mk2,,CM,ep_nat8mk2_CM_snr0,30,,
nat8mk3,1,GM,ep_nat8mk3_GM_g1_snr0,0,329.0,402.0
nat8mk3,1,GB,ep_nat8mk3_GB_g1_snr0,0,329.0,402.0
nat8mk3,1,G,ep_nat8mk3_G_g1,30,329.0,402.0
nat8mk3,1,CB,ep_nat8mk3_CB_g1_snr0,0,329.0,402.0
nat8mk3,1,N,ep_nat8mk3_N_g1_snr0,0,329.0,402.0
nat8mk3,2,N,ep_nat8mk3_N_g2_snr0,0,161.0,219.0
nat8mk3,2,CB,ep_nat8mk3_CB_g2_snr0,0,161.0,219.0
nat8mk3,2,G,ep_nat8mk3_G_g2,30,161.0,219.0
nat8mk3,2,GM,ep_nat8mk3_GM_g2_snr0,0,161.0,219.0
nat8mk3,2,GB,ep_nat8mk3_GB_g2_snr0,0,161.0,219.0
nat8mk3,,CM,ep_nat8mk3_CM_snr0,30,,
nat8mk3,,C,ep_nat8mk3_C,30,,
nat8mk4,1,GM,ep_nat8mk4_GM_g1_snr0,0,608.0,670.0
nat8mk4,1,CB,ep_nat8mk4_CB_g1_snr0,0,608.0,670.0
nat8mk4,1,N,ep_nat8mk4_N_g1_snr0,0,608.0,670.0
nat8mk4,1,GB,ep_nat8mk4_GB_g1_snr0,0,608.0,670.0
nat8mk4,1,G,ep_nat8mk4_G_g1,30,608.0,670.0
nat8mk4,2,N,ep_nat8mk4_N_g2_snr0,0,414.0,505.0
nat8mk4,2,GB,ep_nat8mk4_GB_g2_snr0,0,414.0,505.0
nat8mk4,2,GM,ep_nat8mk4_GM_g2_snr0,0,414.0,505.0
nat8mk4,2,G,ep_nat8mk4_G_g2,30,414.0,505.0
nat8mk4,2,CB,ep_nat8mk4_CB_g2_snr0,0,414.0,505.0
nat8mk4,,CM,ep_nat8mk4_CM_snr0,30,,
nat8mk4,,C,ep_nat8mk4_C,30,,
nat8mk5,1,GM,ep_nat8mk5_GM_g1_snr0,0,748.0,824.0
nat8mk5,1,CB,ep_nat8mk5_CB_g1_snr0,0,748.0,824.0
nat8mk5,1,N,ep_nat8mk5_N_g1_snr0,0,748.0,824.0
nat8mk5,1,G,ep_nat8mk5_G_g1,30,748.0,824.0
nat8mk5,1,GB,ep_nat8mk5_GB_g1_snr0,0,748.0,824.0
nat8mk5,2,N,ep_nat8mk5_N_g2_snr0,0,354.0,432.0
nat8mk5,2,G,ep_nat8mk5_G_g2,30,354.0,432.0
nat8mk5,2,CB,ep_nat8mk5_CB_g2_snr0,0,354.0,432.0
nat8mk5,2,GB,ep_nat8mk5_GB_g2_snr0,0,354.0,432.0
nat8mk5,2,GM,ep_nat8mk5_GM_g2_snr0,0,354.0,432.0
nat8mk5,,CM,ep_nat8mk5_CM_snr0,30,,
nat8mk5,,C,ep_nat8mk5_C,30,,
nat8mk6,1,N,ep_nat8mk6_N_g1_snr0,0,372.0,465.0
nat8mk6,1,CB,ep_nat8mk6_CB_g1_snr0,0,372.0,465.0
nat8mk6,1,GM,ep_nat8mk6_GM_g1_snr0,0,372.0,465.0
nat8mk6,1,GB,ep_nat8mk6_GB_g1_snr0,0,372.0,465.0
nat8mk6,1,G,ep_nat8mk6_G_g1,30,372.0,465.0
nat8mk6,2,GM,ep_nat8mk6_GM_g2_snr0,0,582.0,682.0
nat8mk6,2,GB,ep_nat8mk6_GB_g2_snr0,0,582.0,682.0
nat8mk6,2,CB,ep_nat8mk6_CB_g2_snr0,0,582.0,682.0
nat8mk6,2,G,ep_nat8mk6_G_g2,30,582.0,682.0
nat8mk6,2,N,ep_nat8mk6_N_g2_snr0,0,582.0,682.0
nat8mk6,,CM,ep_nat8mk6_CM_snr0,30,,
nat8mk6,,C,ep_nat8mk6_C,30,,
nat8mk7,1,GB,ep_nat8mk7_GB_g1_snr0,0,512.0,612.0
nat8mk7,1,N,ep_nat8mk7_N_g1_snr0,0,512.0,612.0
nat8mk7,1,GM,ep_nat8mk7_GM_g1_snr0,0,512.0,612.0
nat8mk7,1,CB,ep_nat8mk7_CB_g1_snr0,0,512.0,612.0
nat8mk7,1,G,ep_nat8mk7_G_g1,30,512.0,612.0
nat8mk7,2,N,ep_nat8mk7_N_g2_snr0,0,419.0,497.0
nat8mk7,2,GM,ep_nat8mk7_GM_g2_snr0,0,419.0,497.0
nat8mk7,2,G,ep_nat8mk7_G_g2,30,419.0,497.0
nat8mk7,2,GB,ep_nat8mk7_GB_g2_snr0,0,419.0,497.0
nat8mk7,2,CB,ep_nat8mk7_CB_g2_snr0,0,419.0,497.0
nat8mk7,,C,ep_nat8mk7_C,30,,
nat8mk7,,CM,ep_nat8mk7_CM_snr0,30,,
