motif,gap,type,stimulus,snr,gap_start,gap_stop
synth8mk0,2,CB,ep_synth8mk0_CB_g2a_snr0,0,262.0,332.0
synth8mk0,2,G,ep_synth8mk0_G_g2a,30,262.0,332.0
synth8mk0,2,GB,ep_synth8mk0_GB_g2a_snr0,0,262.0,332.0
synth8mk0,2,GM,ep_synth8mk0_GM_g2a_snr0,0,262.0,332.0
synth8mk0,2,N,ep_synth8mk0_N_g2a_snr0,0,262.0,332.0
synth8mk0,4,CB,ep_synth8mk0_CB_g4a_snr0,0,623.0,693.0
synth8mk0,4,N,ep_synth8mk0_N_g4a_snr0,0,623.0,693.0
synth8mk0,4,GM,ep_synth8mk0_GM_g4a_snr0,0,623.0,693.0
synth8mk0,4,G,ep_synth8mk0_G_g4a,30,623.0,693.0
synth8mk0,4,GB,ep_synth8mk0_GB_g4a_snr0,0,623.0,693.0
synth8mk0,,CM,ep_synth8mk0_CM_snr0,30,,
synth8mk0,,C,ep_synth8mk0_C,30,,
synth8mk1,2,N,ep_synth8mk1_N_g2a_snr0,0,303.0,373.0
synth8mk1,2,CB,ep_synth8mk1_CB_g2a_snr0,0,303.0,373.0
synth8mk1,2,G,ep_synth8mk1_G_g2a,30,303.0,373.0
synth8mk1,2,GM,ep_synth8mk1_GM_g2a_snr0,0,303.0,373.0
synth8mk1,2,GB,ep_synth8mk1_GB_g2a_snr0,0,303.0,373.0
synth8mk1,4,GB,ep_synth8mk1_GB_g4a_snr0,0,669.0,739.0
synth8mk1,4,GM,ep_synth8mk1_GM_g4a_snr0,0,669.0,739.0
synth8mk1,4,CB,ep_synth8mk1_CB_g4a_snr0,0,669.0,739.0
synth8mk1,4,N,ep_synth8mk1_N_g4a_snr0,0,669.0,739.0
synth8mk1,4,G,ep_synth8mk1_G_g4a,30,669.0,739.0
synth8mk1,,CM,ep_synth8mk1_CM_snr0,30,,
synth8mk1,,C,ep_synth8mk1_C,30,,
synth8mk2,2,N,ep_synth8mk2_N_g2a_snr0,0,239.0,309.0
synth8mk2,2,GM,ep_synth8mk2_GM_g2a_snr0,0,239.0,309.0
synth8mk2,2,CB,ep_synth8mk2_CB_g2a_snr0,0,239.0,309.0
synth8mk2,2,GB,ep_synth8mk2_GB_g2a_snr0,0,239.0,309.0
synth8mk2,2,G,ep_synth8mk2_G_g2a,30,239.0,309.0
synth8mk2,4,CB,ep_synth8mk2_CB_g4a_snr0,0,658.0,728.0
synth8mk2,4,G,ep_synth8mk2_G_g4a,30,658.0,728.0
synth8mk2,4,GM,ep_synth8mk2_GM_g4a_snr0,0,658.0,728.0
synth8mk2,4,N,ep_synth8mk2_N_g4a_snr0,0,658.0,728.0
synth8mk2,4,GB,ep_synth8mk2_GB_g4a_snr0,0,658.0,728.0
synth8mk2,,C,ep_synth8mk2_C,30,,
synth8mk2,,CM,ep_synth8mk2_CM_snr0,30,,
synth8mk3,2,GM,ep_synth8mk3_GM_g2a_snr0,0,168.0,238.0
synth8mk3,2,GB,ep_synth8mk3_GB_g2a_snr0,0,168.0,238.0
synth8mk3,2,G,ep_synth8mk3_G_g2a,30,168.0,238.0
synth8mk3,2,CB,ep_synth8mk3_CB_g2a_snr0,0,168.0,238.0
synth8mk3,2,N,ep_synth8mk3_N_g2a_snr0,0,168.0,238.0
synth8mk3,4,N,ep_synth8mk3_N_g4a_snr0,0,625.0,695.0
synth8mk3,4,CB,ep_synth8mk3_CB_g4a_snr0,0,625.0,695.0
synth8mk3,4,G,ep_synth8mk3_G_g4a,30,625.0,695.0
synth8mk3,4,GM,ep_synth8mk3_GM_g4a_snr0,0,625.0,695.0
synth8mk3,4,GB,ep_synth8mk3_GB_g4a_snr0,0,625.0,695.0
synth8mk3,,CM,ep_synth8mk3_CM_snr0,30,,
synth8mk3,,C,ep_synth8mk3_C,30,,
synth8mk4,2,GM,ep_synth8mk4_GM_g2a_snr0,0,167.0,237.0
synth8mk4,2,CB,ep_synth8mk4_CB_g2a_snr0,0,167.0,237.0
synth8mk4,2,N,ep_synth8mk4_N_g2a_snr0,0,167.0,237.0
